NAMESPACE              NAME                                  TYPE           CLUSTER-IP       EXTERNAL-IP    PORT(S)                                                    AGE     SELECTOR
northstar              rabbitmq                              ClusterIP      10.108.97.186    <none>         4369/TCP,5672/TCP,25672/TCP,15672/TCP                      38h     app=rabbitmq,release=rabbitmq
northstar              rabbitmq-headless                     ClusterIP      None             <none>         4369/TCP,5672/TCP,25672/TCP,15672/TCP                      38h     app=rabbitmq,release=rabbitmq
northstar              redis-master                          ClusterIP      10.110.126.169   <none>         6379/TCP                                                   38h     app=redis,release=redis,role=master
paragonui              paragon-ui                            ClusterIP      10.96.140.50     <none>         8080/TCP                                                   38h     app=paragon-ui
report                 report-service                        ClusterIP      10.105.95.125    <none>         9091/TCP                                                   38h     app.kubernetes.io/instance=report-service,app.kubernetes.io/name=report
rook-ceph              csi-cephfsplugin-metrics              ClusterIP      10.100.34.39     <none>         8080/TCP,8081/TCP                                          38h     contains=csi-cephfsplugin-metrics
rook-ceph              csi-rbdplugin-metrics                 ClusterIP      10.103.15.42     <none>         8080/TCP,8081/TCP                                          38h     contains=csi-rbdplugin-metrics
rook-ceph              rook-ceph-mgr                         ClusterIP      10.104.179.45    <none>         9283/TCP                                                   38h     app=rook-ceph-mgr,ceph_daemon_id=a,rook_cluster=rook-ceph
rook-ceph              rook-ceph-mon-a                       ClusterIP      10.109.248.216   <none>         6789/TCP,3300/TCP                                          38h     app=rook-ceph-mon,ceph_daemon_id=a,mon=a,mon_cluster=rook-ceph,rook_cluster=rook-ceph
rook-ceph              rook-ceph-mon-b                       ClusterIP      10.110.249.79    <none>         6789/TCP,3300/TCP                                          38h     app=rook-ceph-mon,ceph_daemon_id=b,mon=b,mon_cluster=rook-ceph,rook_cluster=rook-ceph
rook-ceph              rook-ceph-mon-c                       ClusterIP      10.99.243.173    <none>         6789/TCP,3300/TCP                                          38h     app=rook-ceph-mon,ceph_daemon_id=c,mon=c,mon_cluster=rook-ceph,rook_cluster=rook-ceph
rook-ceph              rook-ceph-rgw-object-store            ClusterIP      10.106.223.22    <none>         80/TCP                                                     38h     app=rook-ceph-rgw,ceph_daemon_id=object-store,rgw=object-store,rook_cluster=rook-ceph,rook_object_store=object-store
