NAMESPACE              NAME                                                              READY   STATUS      RESTARTS   AGE     IP               NODE    NOMINATED NODE   READINESS GATES
fault                  alarmmanager-db-create-0.0.6-gbf8650e1d9-j795v                    0/1     Completed   0          38h     10.244.166.168   node1   <none>           <none>
fault                  alarmmanager-db-init-0.0.6-gbf8650e1d9-jfghn                      0/1     Completed   0          38h     10.244.166.169   node1   <none>           <none>
fault                  alarmmanager-purge-cron-27292320-4zz4v                            0/1     Completed   0          147m    10.244.104.31    node2   <none>           <none>
fault                  telemetrymanager-575c7888db-7qkwj                                 1/1     Running     0          37h     10.244.104.59    node2   <none>           <none>
fault                  telemetrymanager-db-create-0.0.2-g7dec4ce826-4rwsw                0/1     Completed   0          37h     10.244.104.58    node2   <none>           <none>
fault                  telemetrymanager-db-init-0.0.2-g7dec4ce826-njgjw                  0/1     Completed   0          37h     10.244.166.183   node1   <none>           <none>
fault                  telemetrymanager-init-metadata-0.0.2-g7dec4ce826-qzrhv            0/1     Completed   0          37h     10.244.166.182   node1   <none>           <none>
fault                  telemetrymanager-resync-devices-cron-job-27292445-kjg2k           0/1     Completed   0          22m     10.244.135.37    node3   <none>           <none>
fault                  telemetrymanager-resync-faults-cron-job-27292440-86bc2            0/1     Completed   0          27m     10.244.135.42    node3   <none>           <none>
fault                  telemetrymanager-sync-devices-0.0.2-g7dec4ce826-j8pwv             0/1     Completed   0          37h     10.244.166.184   node1   <none>           <none>
fault                  telemetrymanager-upload-rules-0.0.2-g7dec4ce826-ctrz6             0/1     Completed   0          37h     10.244.135.58    node3   <none>           <none>
healthbot              alerta-667dfb9f7d-pdzfs                                           1/1     Running     0          38h     10.244.104.51    node2   <none>           <none>
healthbot              api-server-646fc454b4-lrlfw                                       1/1     Running     0          38h     10.244.104.50    node2   <none>           <none>
healthbot              argo-server-547cc4cc7f-z8scv                                      1/1     Running     0          38h     10.244.166.173   node1   <none>           <none>
healthbot              config-server-69bb96687f-h7f6m                                    1/1     Running     0          38h     10.244.104.49    node2   <none>           <none>
healthbot              configmanager-7tx7l                                               1/1     Running     0          38h     10.244.135.134   node0   <none>           <none>
healthbot              configmanager-cqlck                                               1/1     Running     0          38h     10.244.166.180   node1   <none>           <none>
healthbot              configmanager-k4rbh                                               1/1     Running     0          38h     10.244.135.50    node3   <none>           <none>
healthbot              configmanager-tbx7q                                               1/1     Running     0          38h     10.244.104.48    node2   <none>           <none>
healthbot              debugger-64b857f996-jrh7h                                         1/1     Running     0          38h     10.244.135.53    node3   <none>           <none>
healthbot              device-group-controller-0-analytical-engine-cc7cd6cb6-xmk76       1/1     Running     0          36h     10.244.135.19    node3   <none>           <none>
healthbot              device-group-controller-0-hb-syslog-586c7c555c-62dm5              1/1     Running     0          36h     10.244.166.169   node1   <none>           <none>
healthbot              device-group-controller-0-iagent-76498d9899-4zsnp                 1/1     Running     0          36h     10.244.166.160   node1   <none>           <none>
healthbot              device-group-controller-0-ingest-jti-native-868d7f5575-5qcqh      1/1     Running     0          36h     10.244.166.163   node1   <none>           <none>
healthbot              device-group-controller-0-itsdb-546cdd5f44-7rhjl                  1/1     Running     0          36h     10.244.104.17    node2   <none>           <none>
healthbot              device-group-controller-0-resource-discovery-7757bb889f-878q6     1/1     Running     0          36h     10.244.104.30    node2   <none>           <none>
healthbot              device-group-ems-grp-metrics-0-analytical-engine-846779bdbj68h2   1/1     Running     0          37h     10.244.135.40    node3   <none>           <none>
healthbot              device-group-ems-grp-metrics-0-iagent-5b68d77d5-ns9pj             1/1     Running     0          36h     10.244.135.41    node3   <none>           <none>
healthbot              device-group-ems-grp-metrics-0-resource-discovery-7674b849dssg2   1/1     Running     0          37h     10.244.135.35    node3   <none>           <none>
healthbot              device-group-tm-dg-tenant1-juniper-0-analytical-engine-679kmxsx   1/1     Running     0          7h21m   10.244.166.167   node1   <none>           <none>
healthbot              device-group-tm-dg-tenant1-juniper-0-iagent-5d8b764765-6wrh2      1/1     Running     0          7h21m   10.244.104.43    node2   <none>           <none>
healthbot              device-group-tm-dg-tenant1-juniper-0-job-scheduler-traininrxtc4   1/1     Running     0          7h21m   10.244.166.176   node1   <none>           <none>
healthbot              device-group-tm-dg-tenant1-juniper-0-resource-discovery-5flvh7l   1/1     Running     0          7h21m   10.244.135.54    node3   <none>           <none>
healthbot              grafana-5d6956b754-dwrtz                                          1/1     Running     0          38h     10.244.166.172   node1   <none>           <none>
healthbot              hb-proxy-syslog-858579b6f7-jbdzg                                  1/1     Running     2          38h     10.244.135.52    node3   <none>           <none>
healthbot              hbmon-69874d784-cmzft                                             1/1     Running     0          38h     10.244.166.174   node1   <none>           <none>
healthbot              inference-engine-7dc766987c-nr564                                 1/1     Running     0          38h     10.244.104.55    node2   <none>           <none>
healthbot              influxdb-node1-9778545b-8w6c9                                     1/1     Running     0          38h     10.244.166.170   node1   <none>           <none>
healthbot              ingest-jti-native-proxy-69fcb49467-zkwkt                          1/1     Running     3          37h     10.244.104.25    node2   <none>           <none>
healthbot              ingest-snmp-proxy-8bp8g                                           1/1     Running     0          38h     10.244.104.57    node2   <none>           <none>
healthbot              ingest-snmp-proxy-tf8bf                                           1/1     Running     0          38h     10.244.135.57    node3   <none>           <none>
healthbot              ingest-snmp-proxy-tlddt                                           1/1     Running     0          38h     10.244.166.181   node1   <none>           <none>
healthbot              license-client-77cd64cbfd-8pgrz                                   1/1     Running     0          38h     10.244.104.52    node2   <none>           <none>
healthbot              mgd-7565967ff4-2hft5                                              1/1     Running     0          38h     10.244.166.171   node1   <none>           <none>
healthbot              node-exporter-2d6m7                                               1/1     Running     0          38h     10.244.135.56    node3   <none>           <none>
healthbot              node-exporter-4vv8x                                               1/1     Running     0          38h     10.244.166.179   node1   <none>           <none>
healthbot              node-exporter-wkslg                                               1/1     Running     0          38h     10.244.104.56    node2   <none>           <none>
healthbot              redisoperator-57bbd69cb8-lbsfj                                    1/1     Running     0          38h     10.244.104.37    node2   <none>           <none>
healthbot              reports-7fd5d595c7-xstpg                                          1/1     Running     0          38h     10.244.135.51    node3   <none>           <none>
healthbot              rfr-redis-0                                                       1/1     Running     0          38h     10.244.135.38    node3   <none>           <none>
healthbot              rfr-redis-1                                                       1/1     Running     0          38h     10.244.104.38    node2   <none>           <none>
healthbot              rfr-redis-2                                                       1/1     Running     0          38h     10.244.166.158   node1   <none>           <none>
healthbot              rfs-redis-6cc57b67fb-5jg5b                                        1/1     Running     0          38h     10.244.104.39    node2   <none>           <none>
