NAMESPACE              NAME                                                              READY   STATUS      RESTARTS   AGE     IP               NODE    NOMINATED NODE   READINESS GATES
healthbot              udf-farm-g5tpf                                                    1/1     Running     0          36m     10.244.104.40    node2   <none>           <none>
healthbot              udf-farm-rd5g4                                                    1/1     Running     0          36m     10.244.135.61    node3   <none>           <none>
healthbot              udf-farm-x479r                                                    1/1     Running     0          36m     10.244.166.188   node1   <none>           <none>
healthbot              workflow-controller-54c78b4c57-kcjwg                              1/1     Running     0          36m     10.244.166.185   node1   <none>           <none>
kube-system            calico-kube-controllers-866b8bd7cb-lxlbg                          1/1     Running     0          77m     10.244.135.131   node0   <none>           <none>
kube-system            calico-node-8gfjl                                                 1/1     Running     0          77m     172.16.11.100    node0   <none>           <none>
kube-system            calico-node-c44mz                                                 1/1     Running     0          76m     172.16.11.101    node1   <none>           <none>
kube-system            calico-node-gx4zs                                                 1/1     Running     0          76m     172.16.11.102    node2   <none>           <none>
kube-system            calico-node-jwfgx                                                 1/1     Running     0          76m     172.16.11.103    node3   <none>           <none>
kube-system            coredns-8dbdd69bc-586wm                                           1/1     Running     0          77m     10.244.135.129   node0   <none>           <none>
kube-system            coredns-8dbdd69bc-kw2xn                                           1/1     Running     0          77m     10.244.135.130   node0   <none>           <none>
kube-system            docker-registry-docker-registry-567c5f859d-cg5t9                  1/1     Running     0          55m     10.244.166.145   node1   <none>           <none>
kube-system            docker-registry-docker-registry-proxy-hgnm9                       1/1     Running     0          55m     10.244.166.146   node1   <none>           <none>
kube-system            docker-registry-docker-registry-proxy-jphk7                       1/1     Running     0          55m     10.244.104.12    node2   <none>           <none>
kube-system            docker-registry-docker-registry-proxy-nknbz                       1/1     Running     0          55m     10.244.135.15    node3   <none>           <none>
kube-system            docker-registry-docker-registry-proxy-rd88b                       1/1     Running     0          55m     10.244.135.132   node0   <none>           <none>
kube-system            etcd-node0                                                        1/1     Running     0          77m     172.16.11.100    node0   <none>           <none>
kube-system            fluentd-es-v2.3.1-qq8x8                                           1/1     Running     0          53m     10.244.104.13    node2   <none>           <none>
kube-system            fluentd-es-v2.3.1-stbss                                           1/1     Running     0          53m     10.244.135.18    node3   <none>           <none>
kube-system            fluentd-es-v2.3.1-wlkrp                                           1/1     Running     0          53m     10.244.166.147   node1   <none>           <none>
kube-system            kube-apiserver-node0                                              1/1     Running     0          77m     172.16.11.100    node0   <none>           <none>
kube-system            kube-controller-manager-node0                                     1/1     Running     1          76m     172.16.11.100    node0   <none>           <none>
kube-system            kube-proxy-pwbpd                                                  1/1     Running     0          76m     172.16.11.101    node1   <none>           <none>
kube-system            kube-proxy-rpf97                                                  1/1     Running     0          76m     172.16.11.102    node2   <none>           <none>
kube-system            kube-proxy-vms57                                                  1/1     Running     0          76m     172.16.11.103    node3   <none>           <none>
kube-system            kube-proxy-w6wnz                                                  1/1     Running     0          77m     172.16.11.100    node0   <none>           <none>
kube-system            kube-scheduler-node0                                              1/1     Running     0          77m     172.16.11.100    node0   <none>           <none>
kube-system            metrics-server-658b97c6c6-zmvqt                                   1/1     Running     0          53m     172.16.11.101    node1   <none>           <none>
kube-system            opendistro-index-pattern-jgpxm                                    0/1     Error       0          17m     10.244.104.56    node2   <none>           <none>
kube-system            opendistro-index-pattern-jjk75                                    0/1     Error       0          28m     10.244.135.10    node3   <none>           <none>
kube-system            opendistro-index-pattern-rfpp8                                    1/1     Running     0          7m1s    10.244.166.171   node1   <none>           <none>
kube-system            opendistro-index-pattern-wgtvj                                    0/1     Error       0          48m     10.244.135.33    node3   <none>           <none>
kube-system            opendistro-index-pattern-zzxcd                                    0/1     Error       0          38m     <none>           node3   <none>           <none>
kube-system            opendistro-init-security-settings-8xzgc                           0/1     Error       0          49m     10.244.135.31    node3   <none>           <none>
kube-system            opendistro-init-security-settings-x79nf                           0/1     Completed   0          49m     10.244.104.19    node2   <none>           <none>
kube-system            opendistro-ism-policy-dfztb                                       0/1     Completed   0          48m     10.244.135.32    node3   <none>           <none>
kube-system            opendistro-kibana-78747ccfb4-s2h7v                                1/1     Running     0          50m     10.244.166.156   node1   <none>           <none>
kube-system            opendistro-master-0                                               1/1     Running     0          50m     10.244.135.27    node3   <none>           <none>
kube-system            opendistro-master-1                                               1/1     Running     0          49m     10.244.135.29    node3   <none>           <none>
